"shapeid","OBJECTID","ILCEKN","ILCE_ADI","KIMLIKNO","AD","YAKA","KARAR_NO","KARAR_TARI","GLOBALID","CREATED_US","CREATED_DA","LAST_EDITE","LAST_EDI_1","TANITIMKOD","SHAPE_Leng","SHAPE_Area","area","perimeter"
"0.0","1","2051","36","40894","YAKUPLU","2","NULL","1899-12-30","{8B330DB5-0B67-41E9-938E-73160C0A2DC9}","NULL","NULL","TERDEM","2017-02-16","6","15621.9882264","7347959.03922","0.0007860743711489704","0.16257429815142876"
"1.0","2","2051","36","40875","BARIÞ","2","1492 Sayýlý ÝBB Kararý","2011-06-17","{EDD87F94-8819-40A7-9CB0-70EE642089E0}","NULL","NULL","NULL","NULL","6","7579.10845418","2558934.29985","0.0002737803230274949","0.07495692444867949"
"2.0","3","2003","2","40147","DENÝZKÖÞKLER","2","NULL","1899-12-30","{0D2B6997-B9FB-4D98-979D-15A3D14A8C85}","NULL","NULL","NULL","NULL","3","8165.8537409","1683688.06399","0.00018008146719239448","0.08907496686450973"
"3.0","4","1708","25","40830","YAVUZTÜRK","1","NULL","1899-12-30","{C5CE7B7B-2E86-4623-970D-A67F96A52E36}","NULL","NULL","NULL","NULL","47","7190.1828888","1708919.53866","0.00018298462782695424","0.07080994662423659"
"4.0","5","1782","29","99334","ÇAKMAKLI","2","NULL","1899-12-30","{32367DE3-194B-4BA1-A7EA-96089C045BAC}","NULL","NULL","MAKS","2016-01-26","23","10636.7312647","5453506.21396","0.0005839191971972468","0.10843491396320522"
"5.0","6","1852","24","98685","ALTINÞEHÝR","1","NULL","1899-12-30","{ED9C121A-4C62-42D3-A594-09A5206E3713}","NULL","NULL","NULL","NULL","16","3679.52970004","844494.576676","9.038756513746193e-05","0.038148880665519275"
"6.0","7","1604","21","40666","ÝSTÝNYE","2","NULL","1899-12-30","{34E7E514-F81F-4685-946A-CEDA122FD94D}","NULL","NULL","TERDEM","2017-03-07","0","10185.1593949","1242106.89866","0.00013314874058778514","0.11000577350032043"
"7.0","8","1782","29","40928","CELALÝYE","2","NULL","1899-12-30","{2980D1F2-40CB-4F31-825E-B87D0B49DA3F}","NULL","NULL","NULL","NULL","3","17006.9558895","13373683.1973","0.001432063452057264","0.1765208608217133"
"8.0","9","2048","33","40911","DURSUNKÖY","2","NULL","1899-12-30","{31A38733-5300-4338-87CB-A7FF32FA4DA3}","NULL","NULL","NULL","NULL","10","28872.1274754","26359463.9679","0.0028290439513511956","0.29299516456445485"
"9.0","10","2048","33","40485","MAVÝGÖL","2","2414 Sayýlý Karar","2007-11-16","{169A2110-14A1-4E1A-A0EA-42256F7C392C}","NULL","NULL","NULL","NULL","5","5731.20717942","1550451.12284","0.00016641696004171536","0.058527896337105596"
"10.0","11","1604","21","40680","YENÝKÖY","2","NULL","1899-12-30","{485EC098-7451-41A9-9954-F31DCCB88FF9}","NULL","NULL","TERDEM","2017-03-07","0","8801.74169318","2157460.30567","0.00023129515875552897","0.09246845861123683"
"11.0","12","1823","18","40586","MEHMET AKÝF","2","NULL","1899-12-30","{48320B84-0756-42AA-B15C-8FAE4C932E81}","NULL","NULL","NULL","NULL","19","4814.06796911","1109498.45327","0.00011881701118454657","0.049830419134711736"
"12.0","13","2005","5","40177","BAHÇELÝEVLER","2","NULL","1899-12-30","{ED71DCCD-8402-477E-AF2D-9D7E3A69E671}","NULL","NULL","NULL","NULL","1","10228.830776","3179485.31384","0.0003402269410344161","0.10659672526382914"
"13.0","14","1186","9","40289","SURURÝ MEHMET EFENDÝ","2","NULL","1899-12-30","{DC25B4BA-602F-47CB-BA4D-17BFC39596D9}","NULL","NULL","NULL","NULL","32","1372.63402966","105724.973803","1.1319453733449336e-05","0.014155119887180689"
"14.0","15","1327","12","99143","CÝBALÝ","2","NULL","1899-12-30","{02B409D2-DB21-42C4-BF67-663169753D4E}","NULL","NULL","NULL","NULL","86","2633.92232953","275094.027018","2.944661798665038e-05","0.027411489979778686"
"15.0","16","1327","12","40324","MÝMAR HAYRETTÝN","2","NULL","1899-12-30","{6577624D-997C-4F34-8F97-7D3A91FC4706}","NULL","NULL","NULL","NULL","107","1568.51141541","109841.894377","1.175496595351433e-05","0.016017153045340113"
"16.0","17","1327","12","40339","YAVUZ SÝNAN","2","NULL","1899-12-30","{C9AAC5CA-AE45-4612-B53A-BFDD7116B1D6}","NULL","NULL","NULL","NULL","122","1013.09933607","50869.1800294","5.4449899380415445e-06","0.010891233562722669"
"17.0","18","1327","12","40335","SÜLEYMANÝYE","2","NULL","1899-12-30","{5AC46F2F-59BF-454F-96E8-1D42CB34B251}","NULL","NULL","NULL","NULL","118","2367.29865483","288483.259927","3.08758369556017e-05","0.024236144446075466"
"18.0","19","1327","12","40332","SARIDEMÝR","2","NULL","1899-12-30","{00F5C722-28AB-4479-84E0-0796ADF5BD64}","NULL","NULL","NULL","NULL","115","2153.72100234","106178.937956","1.1365154023224022e-05","0.022603696616283715"
"19.0","20","1327","12","40337","TAHTAKALE","2","NULL","1899-12-30","{1D10A8F3-EBB6-4D77-B62A-6420574CC8F4}","NULL","NULL","NULL","NULL","120","868.788028064","47078.5304915","5.038899416831555e-06","0.008983123358646134"
"20.0","21","1327","12","40317","HOCAPAÞA","2","NULL","1899-12-30","{EEC62D2E-CD16-4F33-B66A-4E2C6798E7F1}","NULL","NULL","NULL","NULL","100","3020.58529142","305749.224006","3.272440051205194e-05","0.031735298123832335"
"21.0","22","1782","29","40844","ALKENT 2000","2","NULL","1899-12-30","{71E1364B-54A8-464F-A640-8381F674E294}","NULL","NULL","MAKS","2016-01-26","1","15107.6506089","6511462.98995","0.0006974103681613997","0.15916712555000856"
